ja,zh
さすがよ、プロデューサー\n私のことはなんでもお見通しなのね\nどうして……掛けてほしい言葉がわかるのかしら……,さすがよ、プロデューサー\n私のことはなんでもお見通しなのね\nどうして……掛けてほしい言葉がわかるのかしら……
プロデューサーと一緒だったらさ\n絶対ハンパないアイドルになれる！\nこれからもヨロシク！　プロデューサー！,プロデューサーと一緒だったらさ\n絶対ハンパないアイドルになれる！\nこれからもヨロシク！　プロデューサー！
サインは私がここにいるって証ですー\nってことでプロデューサー、目、閉じてくださいー\nふふー、『ま　み　み』──……,サインは私がここにいるって証ですー\nってことでプロデューサー、目、閉じてくださいー\nふふー、『ま　み　み』──……
うちなんかがステージに立てるなんて\n人生何があるかわかんないね～！\nマジプロデューサーとの出会いに感謝ってカンジだわ～,うちなんかがステージに立てるなんて\n人生何があるかわかんないね～！\nマジプロデューサーとの出会いに感謝ってカンジだわ～
この前友達とちょー長電話しちった～\nマジ盛り上がると止まんないんだよね～！\nプロデューサーともちょー長くなりそ～！,この前友達とちょー長電話しちった～\nマジ盛り上がると止まんないんだよね～！\nプロデューサーともちょー長くなりそ～！
ついてこれてる？\n……大丈夫、みたいだね\nまだまだ終わらないから……！,Am I keeping up? ...looks like\r\nI'm fine. But I'm still not\r\nfinished..!
プロデューサーはいつも暑苦しいし、\nたくさん無茶振りもしてきますケドー……\nまぁ……それがないのはちょっと、退屈かもしれませんねー,プロデューサーはいつも暑苦しいし、\nたくさん無茶振りもしてきますケドー……\nまぁ……それがないのはちょっと、退屈かもしれませんねー
甜花も、頑張る……！\nいっぱい頑張って、えと、まずは……え、えと、えっと……\n……頑張るの、お昼寝してから……,Tenka too、will work hard……！\nshe will work hard a lot、um、the first thing is……u、um、umm……\n……she'll do her best、at napping……
……あんたも、嫌な時は嫌って言いなさいよ\nなんも言わないで、愛想つかすのだけは、だめ\n……ふゆ、言われないと、きっとわかんないから,……あんたも、嫌な時は嫌って言いなさいよ\nなんも言わないで、愛想つかすのだけは、だめ\n……ふゆ、言われないと、きっとわかんないから
……ん……んん……？\n……あ、ぷろりゅーさーさん……だあ……\n……にへへ……すう……すう……,……N……nn……？\n……Ah、it's……Producer-san……\n……Nihehe……Suu……Suu……
──いつからでも遅くないって\nアンタが言ったんだ,──いつからでも遅くないって\nアンタが言ったんだ
ここまで連れてきてくれたの、\nプロデューサーなんだからね？,ここまで連れてきてくれたの、\nプロデューサーなんだからね？
アイドルのこと、もっともっと突き詰めたいっす！\nそれで、絶対に究極のアイドルになるっす！\nプロデューサーさん、これからもずっと支えてほしいっす！,アイドルのこと、もっともっと突き詰めたいっす！\nそれで、絶対に究極のアイドルになるっす！\nプロデューサーさん、これからもずっと支えてほしいっす！
プロデューサーさんが手をとってくださるから、\nただの、ひとりの女の子は、アイドルに──\n……ふふ、この魔法がずっと解けませんように,プロデューサーさんが手をとってくださるから、\nただの、ひとりの女の子は、アイドルに──\n……ふふ、この魔法がずっと解けませんように
プロデューサーさんに、肩たたき券をプレゼントします！\n──あたし、おうちでは、肩たたきのプロって呼ばれてるんです\nいつでも出げき準備万たんなので、どんどん使ってください！,プロデューサーさんに、肩たたき券をプレゼントします！\n──あたし、おうちでは、肩たたきのプロって呼ばれてるんです\nいつでも出げき準備万たんなので、どんどん使ってください！
プロデューサーさんのこと、たくさん頼りにさせてもらって\nます。でも、それだけじゃなくて……頼ってもらえたら\n嬉しいんです。……もう、お互いに遠慮はなしですよ？,プロデューサーさんのこと、たくさん頼りにさせてもらって\nます。でも、それだけじゃなくて……頼ってもらえたら\n嬉しいんです。……もう、お互いに遠慮はなしですよ？
三峰たちのステージ、もっと\nもーっと広められる気がする！,三峰たちのステージ、もっと\nもーっと広められる気がする！
手塩にかけたアイドルの成長、\nちゃんと見ててよねー,手塩にかけたアイドルの成長、\nちゃんと見ててよねー
甘奈、アイドルの活動ノートをつけてるんだけどね\n見返してみたら、すっごく心が温かくなって\nまた頑張らなきゃって気持ちになったんだ,甘奈、アイドルの活動ノートをつけてるんだけどね\n見返してみたら、すっごく心が温かくなって\nまた頑張らなきゃって気持ちになったんだ
いつまでも背を向けてちゃ、見えないことが\nあるんだよな……。アタシ、アイドルになってから\n色んなことに気付けた気がするよ,いつまでも背を向けてちゃ、見えないことが\nあるんだよな……。アタシ、アイドルになってから\n色んなことに気付けた気がするよ
あたしが夏葉さんの歳になっても、プロデューサーさんの\n歳になっても、社長さんの歳になっても──……絶対！\nプロデューサーさんと一緒に、戦い続けてるんだと思います！,あたしが夏葉さんの歳になっても、プロデューサーさんの\n歳になっても、社長さんの歳になっても──……絶対！\nプロデューサーさんと一緒に、戦い続けてるんだと思います！
お花さんたちと……わたし……\nそれから今は……プロデューサーさんも……\n全部の季節が……優しいです……,お花さんたちと……わたし……\nそれから今は……プロデューサーさんも……\n全部の季節が……優しいです……
この間、灯織ちゃんとめぐるちゃんとも水鉄砲で遊んだんです……ふふっ,この間、灯織ちゃんとめぐるちゃんとも水鉄砲で遊んだんです……ふふっ
ご一緒に……参りましょう……\n木の芽風に……\n誘われるまま……,ご一緒に……参りましょう……\n木の芽風に……\n誘われるまま……
それでこそよ！　プロデューサー\n隣で、ちゃんと見守っていてちょうだい！\n私、期待に応えるのは得意なのよ,それでこそよ！　プロデューサー\n隣で、ちゃんと見守っていてちょうだい！\n私、期待に応えるのは得意なのよ
ひとりでも多くのファンに笑顔になってもらいたいんです\nたくさんの笑顔をもらった今の私なら、できるって──……\n不安でも、信じています。……一緒にここまで来たんですから,"I want to be able to give a smile to many fans, even by myself.\nI think that since I've been given many smiles, that now I can do it──……\nEven if I'm anxious, I believe in it. ……Because we've come this far together."
プロデューサーさんがいるからいっぱい頑張れるし、\nどんなにピンチな時でも、大丈夫だって思えます！\nだから、ずっと一緒にいてください、プロデューサーさん！,プロデューサーさんがいるからいっぱい頑張れるし、\nどんなにピンチな時でも、大丈夫だって思えます！\nだから、ずっと一緒にいてください、プロデューサーさん！
プロデューサー！　今度、カラオケどう？\n友達とはよく行くんだけどさ～、\nプロデューサーとも一緒に行ってみたいんだよね～,プロデューサー！　今度、カラオケどう？\n友達とはよく行くんだけどさ～、\nプロデューサーとも一緒に行ってみたいんだよね～
失くすくらいなら、手にしなきゃいいって思ってたけど……\n大事なもの、ちゃんと守れるくらい──\nアタシが強くなればいいだけなんだよな,失くすくらいなら、手にしなきゃいいって思ってたけど……\n大事なもの、ちゃんと守れるくらい──\nアタシが強くなればいいだけなんだよな
早寝……寝坊……二度寝……三度寝……\nあと……お昼寝……\n……にへへ、みんな……好き……,早寝……寝坊……二度寝……三度寝……\nあと……お昼寝……\n……にへへ、みんな……好き……
私を信じて見守ってくれるところも──そのくせここぞって時は、\n三峰の言うことなんか聞かずに踏み込んできちゃうところも──\n……感謝してるのって言ったら、信じてくれる？,私を信じて見守ってくれるところも──そのくせここぞって時は、\n三峰の言うことなんか聞かずに踏み込んできちゃうところも──\n……感謝してるのって言ったら、信じてくれる？
……えへへ。プロデューサーさんは、\nいつも私と正面から向き合ってくれますよね\nそういうのは……とっても。とっても、安心しちゃいます,……えへへ。プロデューサーさんは、\nいつも私と正面から向き合ってくれますよね\nそういうのは……とっても。とっても、安心しちゃいます
──あははっ！\nどーだ！\nアタシから目、離すなよ！,──あははっ！\nどーだ！\nアタシから目、離すなよ！
あなたの歌が\n聴きたい……！,あなたの歌が\n聴きたい……！
この光……届いてる？\nまだなら……絶対に\n届けてみせるから……！,This ray... is it getting through? If not... I'll definitely deliver it..!
ふふ……\nお花さんたちは……話しません……\nそんな気が……するだけです……,ふふ……\nお花さんたちは……話しません……\nそんな気が……するだけです……
もっと魅せてよ\nいけるっしょ！,もっと魅せてよ\nいけるっしょ！
よく、思ってることが顔に出やすいって言われちゃうんです\nプロデューサーさんは、わからないですか……？　今は……\nええと、『そんなにじっと見ないでください』です～……！,よく、思ってることが顔に出やすいって言われちゃうんです\nプロデューサーさんは、わからないですか……？　今は……\nええと、『そんなにじっと見ないでください』です～……！
クレープの後は\nプロデューサーに\n噛みついちゃおっかな～♪,クレープの後は\nプロデューサーに\n噛みついちゃおっかな～♪
プロデューサーさん、お疲れですよね……\nもう少し休んでいても大丈夫ですよ\n私が目覚まし係になりますから。……ね？,プロデューサーさん、お疲れですよね……\nもう少し休んでいても大丈夫ですよ\n私が目覚まし係になりますから。……ね？
プロデューサーさんが楽しいと思うことってなんすか！\n趣味はあるんすか？　好きな食べ物はなんすか？\nプロデューサーさんのこと、もっと知りたいっす！,プロデューサーさんが楽しいと思うことってなんすか！\n趣味はあるんすか？　好きな食べ物はなんすか？\nプロデューサーさんのこと、もっと知りたいっす！
プロデューサーさんは、いつも背中を押してくれます\nまだ……色々不安に思うことがあっても\n私、プロデューサーさんを信じて頑張りますっ,プロデューサーさんは、いつも背中を押してくれます\nまだ……色々不安に思うことがあっても\n私、プロデューサーさんを信じて頑張りますっ
三峰のこと、実はいい子、とか思ってるんだったら──\n三峰的には作戦成功……かな？　だって、そう見えるように\nっていうシタゴコロなんだから。……なんて、ねぇ？,三峰のこと、実はいい子、とか思ってるんだったら──\n三峰的には作戦成功……かな？　だって、そう見えるように\nっていうシタゴコロなんだから。……なんて、ねぇ？
夢みたいなおっきなステージ\nいつか灯織ちゃんとめぐるちゃんと一緒に出れるでしょうか？,夢みたいなおっきなステージ\nいつか灯織ちゃんとめぐるちゃんと一緒に出れるでしょうか？
孤独を吹き飛ばす炎──\n聴こえますか？,孤独を吹き飛ばす炎──\n聴こえますか？
待機時間ってじっとしてなくちゃいけないから苦手っす\nだから、もっと一緒にいてくれないっすか？\nプロデューサーさんと話してると、時間が早く経つっす！,待機時間ってじっとしてなくちゃいけないから苦手っす\nだから、もっと一緒にいてくれないっすか？\nプロデューサーさんと話してると、時間が早く経つっす！
素敵だわ……！\n期待しちゃう！,素敵だわ……！\n期待しちゃう！
きらきら眩しい願いも、ふたりと一緒なら叶えていけるって思います……っ,きらきら眩しい願いも、ふたりと一緒なら叶えていけるって思います……っ
今日のレッスンで、動きが良くなったってほめられました！\nいっぱいがんばったので、プロデューサーさんにも\nほめてもらえたら、もっともっとうれしいです！,今日のレッスンで、動きが良くなったってほめられました！\nいっぱいがんばったので、プロデューサーさんにも\nほめてもらえたら、もっともっとうれしいです！
積まれたお団子って、こう、\nなんていうか……！　ロマン\nがあると思いませんか……！,積まれたお団子って、こう、\nなんていうか……！　ロマン\nがあると思いませんか……！
プロデューサーって頭良さそうだよね～\n仕事、ちょー難しそうじゃん？\nうちだったら絶対無理だもんな～！,プロデューサーって頭良さそうだよね～\n仕事、ちょー難しそうじゃん？\nうちだったら絶対無理だもんな～！
今日の桑山千雪も、\nきっと見守っていてくださいね,今日の桑山千雪も、\nきっと見守っていてくださいね
あの頃と変わったものがあって\nきっと、変わらないものもある\n花火の輝きが変わらないように,あの頃と変わったものがあって\nきっと、変わらないものもある\n花火の輝きが変わらないように
お疲れ様、プロデューサー\n一緒に紅茶でもどうかしら？　ニルギリ、ウバ、\nキーマン……どれもリラックス効果があるものよ！,お疲れ様、プロデューサー\n一緒に紅茶でもどうかしら？　ニルギリ、ウバ、\nキーマン……どれもリラックス効果があるものよ！
ここまで羽ばたけたのは、プロデューサーさんのおかげですっ,ここまで羽ばたけたのは、プロデューサーさんのおかげですっ
これからも、甜花と、なーちゃんと、千雪さんで……満開の、アルストロメリア……！,From now on、Tenka、Naa-chan、and Chiyuki……Alstroemeria、will fully bloom……！
今まで、上手くできないことばっかで、後悔もいっぱいした\nでも、だからこそあんたに会えたんなら──\n……ま、悪くないかなって,今まで、上手くできないことばっかで、後悔もいっぱいした\nでも、だからこそあんたに会えたんなら──\n……ま、悪くないかなって
私たちの歌で、たくさんの輝きを届けたいですっ,私たちの歌で、たくさんの輝きを届けたいですっ
私の歌が、会場の外まで\n届いてくれると嬉しいですっ,私の歌が、会場の外まで\n届いてくれると嬉しいですっ
聞いて～！\n昨日、家族がうちの出てた番組見ててさ～\n嬉しかったんだけど、ちょー恥ずかったわ～,聞いて～！\n昨日、家族がうちの出てた番組見ててさ～\n嬉しかったんだけど、ちょー恥ずかったわ～
雪蛍……\nゆきつ……もどりつ……\n君のうえ……,雪蛍……\nゆきつ……もどりつ……\n君のうえ……
『好き』だと言えるものは……あまり、ありませんでした\n……そう言えるものが増えたらいいなと思っています\nみんなが大事にしてくれる……私のことも、いつか──……,"There wasn't much I could say ""I like"" before.\n……I think it's good that there are more things I can say that about.\nEveryone is important to me…… I hope I can about myself someday too──……"
あうう……\n甜花が足、引っ張ったから……,Au……\nTenka's leg、got pulled……
うちとカラオケいかな～い？,うちとカラオケいかな～い？
この間、『もしアイドルになってなかったら？』って\n聞かれてね、わたし、それは嫌だなぁって言っちゃったんだ\nだって、いつでもイルミネーションスターズでいたいから！,この間、『もしアイドルになってなかったら？』って\n聞かれてね、わたし、それは嫌だなぁって言っちゃったんだ\nだって、いつでもイルミネーションスターズでいたいから！
甜花ちゃん、千雪さん、プロデューサーさん……\nみんなと一緒にいる何気ない時間が甘奈は大好き\nこれからもずーっと、大切にしていきたいな,甜花ちゃん、千雪さん、プロデューサーさん……\nみんなと一緒にいる何気ない時間が甘奈は大好き\nこれからもずーっと、大切にしていきたいな
忘れ物は……ないよね！\nショッピングに集中したいから\n心配事はなくさないと……,忘れ物は……ないよね！\nショッピングに集中したいから\n心配事はなくさないと……
『物事の価値は斜めから\n測るべし』\nby 田中摩美々,『物事の価値は斜めから\n測るべし』\nby 田中摩美々
そうだね……\nもう少し、何か……,そうだね……\nもう少し、何か……
春になったら……会えます……\nコデマリさんのお花……\nプロデューサーさんも……一緒に……,春になったら……会えます……\nコデマリさんのお花……\nプロデューサーさんも……一緒に……
落ち込んでなんていられません！\n苦難はチャンス！　なんです！,落ち込んでなんていられません！\n苦難はチャンス！　なんです！
あー……くそ\nもっとできることがねーか、探してみるよ,あー……くそ\nもっとできることがねーか、探してみるよ
うぉっ、とー……！？\nあちゃー……これは気合い入れ直さなきゃだ,うぉっ、とー……！？\nあちゃー……これは気合い入れ直さなきゃだ
えー\nもう十分頑張ったつもりなんですケドー………,えー\nもう十分頑張ったつもりなんですケドー………
まみみがここまで来れたのは\nプロデューサーのおかげです,まみみがここまで来れたのは\nプロデューサーのおかげです
もっと驚く顔が見たいんで、更\nにすごいアイドルになりますー,もっと驚く顔が見たいんで、更\nにすごいアイドルになりますー
プロデューサーさんも、\nビーチグラスでなにか作りませんか！,プロデューサーさんも、\nビーチグラスでなにか作りませんか！
プロデューサーのせいで大勢に\n見られるようになりましたねー,プロデューサーのせいで大勢に\n見られるようになりましたねー
何度だって一緒に春を待ちたいと思える人ができたんだ\n……プロデューサーと、プロデューサーのおかげで会えた\nみんなのことだよ,何度だって一緒に春を待ちたいと思える人ができたんだ\n……プロデューサーと、プロデューサーのおかげで会えた\nみんなのことだよ
幸せ──……\nプロデューサーさんの\n優しさのおかげです,幸せ──……\nプロデューサーさんの\n優しさのおかげです
……あれ。また見つかっちゃいましたね……！\nこれはみんなには内緒のチョコなので──\nプロデューサーさん、共犯しましょう！　どうぞです！,……あれ。また見つかっちゃいましたね……！\nこれはみんなには内緒のチョコなので──\nプロデューサーさん、共犯しましょう！　どうぞです！
……もうちょっと、頑張ればよかったんですかねー,……もうちょっと、頑張ればよかったんですかねー
