ja,en
～♪\r\nどう、上手くなったっしょ～,"Hmmhmm♪ Woah, didn't I get better～?"
今度カラオケでも歌おっかな～\r\nサンキュ！　プロデューサー,"I'll have to sing it next time I do karaoke～
Thank you, Producer!"
二週間後、ボーカルレッスンってできる～？,Can I have a vocal lesson in two weeks～?
うちひとりで練習したんだけどさ～,Well I just practiced on my own～
ひとりだとマジわかんないから\r\n次はヨロシクね～,"But since I totally don't get it myself,
Please help next time～"
この前の新曲、まだ音がつかみきれてないんです\r\n……思った音が出ないというか……,"I still haven't gotten a grasp on the new song recently...
I can't get it to sound the way I want..."
ボーカルレッスンをお願いしたいんですが……\r\n今週、お願いできますか？,"I want to ask for a vocal lesson, but...
Can we do it this week?"
そうですか\r\n残念ですが、仕方ないですね,"I see. That's unfortunate, but it can't be helped."
この間教えていただいた発声法、試してみました。,I tried out the vocal technique you taught me recently.
いつも以上に成長できたんじゃないかな、と……\r\n自分でも、思います,"It seems like maybe I've grown more than usual...
Even I think so too."
音楽はいくらでも再生できますし、\r\nカラオケに行けば自主トレもできます,"Music can be played as many times as you want,
and I can do self practice during karaoke."
また、レッスン場が使えそうだったら……\r\n教えてくださいね,"If it seems like you can use the lesson area again...
Please let me know."
すみません、プロデューサー\r\nせっかく予定を調整していただいたのに、私……,"I'm sorry, Producer.
Even though you already had plans, I..."
……落ち込んでいても仕方ないですね\r\n挽回できるように、頑張ります,"...Feeling down won't do anything.
I'll do my best to recover."
動きのキレがちょっと足りない気がするんです\r\n鏡の前で動きを追求したいんですが……,"I feel like my movement is lacking a bit.
I want to improve it in front of the mirror, but..."
ダンスレッスンをお願いしたいです\r\n今週、お願いできませんか？,"I would like a dance lesson.
Could we do it this week?"
今日はありがとうございました、プロデューサー\r\nとても気付きの多いレッスンでした,"Thank you for your work today, Producer.
I realized a lot during this lesson."
ずっとひとりで練習を続けていたので……\r\n鏡を見ながら動きが確認できて嬉しかったです,"I kept practicing by myself...
I was glad I was able to confirm my movement
while looking at the mirror."
……予約がいっぱいで使えるレッスン場がない、ですか\r\nちょっと残念です,"...The schedule is too full to use the lesson area?
That's too bad."
当分の間は、今まで通り公園で練習しておきますね\r\nレッスン場の予約が空いたら、また教えてください,"For now I will continue to keep practicing at the
park. Let me know when the lesson area has
openings again."
お化粧のこと、普段から勉強はしているんですが\r\nまだまだわからないことも多くて……,"I've been studying about makeup,
but there are still many things I don't know..."
今週、ビジュアルレッスンお願いできませんか？,Could we do a visual lesson this week?
お化粧１つで印象がガラリと変わるんだって……\r\n当たり前のことですが、今日改めてそう思いました,"With just one cosmetic your appearance can change
completely... It's obvious, but I was reminded of that
today."
前よりも自信をもって、撮影に挑めそうです,"I feel like I have more confidence than before and can
challenge a photo shoot."
レッスンに充てる時間がない、ですか……\r\nそれじゃ仕方ないですね……,"So there's no time to set aside for lessons...
I guess it can't be helped..."
少し経っても、まだモヤモヤがとれないままだったら\r\n改めて、レッスンをお願いしようと思います,"If I still feel like I can't get rid of this fog later,
I think I'll ask for a lesson again."
本当に申し訳ないんですが……\r\nここのところ体調がどうもよくなくて,"I'm truly sorry, but...
Lately, my health hasn't been good."
今週、お休みをいただいてもいいですか？,Is it okay if I take a break this week?
忙しい中、お休みをとっていただき\r\nありがとうございます,"Thank you very much for letting me take a break
while we are busy."
また明日から、しっかりと頑張ろうと思います,I'll do my best properly again starting tomorrow.
予定が予定がつまってるのに、休めないですよね\r\n私もプロ、ですから……,"Even though the schedule is so full, I can't rest.
I'm a pro after all..."
仕事に穴をあけるわけにもいきませんしね\r\n気を引き締めて、前に進もうと思います,"I can't leave a hole open in work either
I'll brace myself and keep moving onward."
ボーカルレッスンをお願いしたいんですが……\r\n一週間後にお願いできますか？,"I would like a vocal lesson, but...
Could we do it one week from now?"
ダンスレッスンをお願いしたいです\r\n一週間後にお願いできませんか？,"I would like a dance lesson.
Could we do it one week from now?"
一週間後にビジュアルレッスンお願いできませんか？,Could I have a visual lesson one week from now?
一週間後にお休みをいただいてもいいですか？,Is it okay if I take a break one week from now?
ボーカルレッスンをお願いしたいんですが……\r\n二週間後にお願いできますか？,"I would like a vocal lesson, but...
Could we do it two weeks from now?"
ダンスレッスンをお願いしたいです\r\n二週間後にお願いできませんか？,"I would like a dance lesson.
Could we do it two weeks from now?"
二週間後にビジュアルレッスンお願いできませんか？,Could I have a visual lesson two weeks from now?
二週間後にお休みをいただいてもいいですか？,Is it okay if I take a break two weeks from now?
あのねプロデューサー、今練習してる曲、難しくて……\r\nちゃんと合わせられてない気がするんだよね……,"Umm... Producer, the song I was going to practice...
I don't think I'll be able to do it easily."
だからボーカルレッスンしたいんだけど、\r\n今週って予定取れそうかな？,"I'd like to have a vocal lesson, could you schedule it
this week?"
えへへ、ありがとう！\r\n約束だからね、プロデューサー！,"Eheheh, thanks! Keep my promise, Producer!"
え、だめ？\r\n……そっか、わかったよ。急にごめんね！,"Eh, I can't?
...I see, got it. Sorry, gotta run!"
約束覚えててくれてありがとう！\r\nボーカルレッスン、楽しかったよー！,"Thanks for keeping our promise, Producer!
The vocal lesson was very fun!"
これでちゃんと歌えるようになったと思うし、\r\n次聴くとき、楽しみにしててねっ,"I think I can sing a lot more properly now!
Look forward to my singing, okay?"
ちょっと、プロデューサー！　約束忘れてたでしょー\r\n次はちゃんと守ってね,"Hey, Producer! You forgot our promise...
Remember next time, okay?"
うーん、ちょっと上手くいかなかったな\r\nごめんね、せっかく約束守ってくれたのに……,Ah... It didn't turn out well... Sorry for the troubles...
次はもっと頑張るから、またよろしくね、\r\nプロデューサー！,"I'll make sure to do my best next time, Producer!"
プロデューサー！\r\n新しくやった振り付け、とことんまで練習したいんだ！,"Producer! I really wanna practice the new
choreography!"
今週にダンスレッスンってできそう！？\r\nビシッと踊れるようにしちゃいたいの！,"Can I have a dance lesson this week!?
I wanna be able to dance a bit more!"
はぁ踊ったー！\r\n体動かすのってやっぱり気持ちいい！,Haa... I did it! It feels good moving my body around!
プロデューサーが約束守ってくれたおかげで\r\n振り付けも完璧だよ！　ありがとう！,"Thanks for keeping our promise, the choreography
came out perfectly!"
ダンスレッスンしたかったのに……\r\n次は忘れないでね？　プロデューサー,"I wanted to do the dance lesson...
Producer, don't forget next time, okay?"
もっとしっかりお化粧の勉強がしたいんだよね！\r\nまだまだ知らないこといっぱいあるから！,"I wanna learn more about makeup!
There's still more for me to know!"
今週とかにビジュアルレッスンしても\r\n大丈夫かなぁ？,Would it be okay to have a visual lesson this week?
プロデューサー、見て見て！\r\nビジュアルレッスンの成果、どうかな！？,"Producer, look! How's the result of my visual lesson!?"
約束守ってもらえたから、\r\nレッスンも頑張っちゃったよ！,"Thanks for keeping our promise, I really did my best
on the lesson!"
もう！　プロデューサーったら約束忘れてるー！\r\n今度は守ってよー？,"Agh, Producer! You forgot our promise!
Remember next time, okay?"
プロデューサー、ちょっとお願いがあるんだけど……\r\n今週に友達と予定を入れたいんだ,"Producer, I want to ask something...
I'm having a meeting with a friend this week."
お休み、もらっちゃダメかな？,Would it be okay if I take a week off?
お休みくれてありがとう、プロデューサー！\r\nたくさん友達と遊べて楽しかったよ～,"Thanks for letting me take a break, Producer!
Me and my friend had so much fun～"
今度はプロデューサーとも遊びに行きたいな！,"Let's play together next time, Producer!"
友達と会う予定だったのに……\r\n悪いことしちゃったな,"I was planning to have the meeting...
Maybe I've done something bad?"
だからボーカルレッスンしたいんだけど、\r\n一週間後って予定取れそうかな？,"I'd like to have a vocal lesson, could you schedule it
next week?"
一週間後にダンスレッスンってできそう！？\r\nビシッと踊れるようにしちゃいたいの！,"Can I have a dance lesson next week!?
I wanna be able to dance a bit more!"
一週間後とかにビジュアルレッスンしても\r\n大丈夫かなぁ？,Would it be okay to have a visual lesson next week?
プロデューサー、ちょっとお願いがあるんだけど……\r\n一週間後に友達と予定を入れたいんだ,"Producer, I want to ask something...
I'm having a meeting with a friend next week."
だからボーカルレッスンしたいんだけど、\r\n二週間後って予定取れそうかな？,"I'd like to have a vocal lesson, could you schedule it in
two weeks from now?"
二週間後にダンスレッスンってできそう！？\r\nビシッと踊れるようにしちゃいたいの！,"Can I have a dance lesson in two weeks!?
I wanna be able to dance just a bit more!"
二週間後とかにビジュアルレッスンしても\r\n大丈夫かなぁ？,"Would it be okay to have a visual lesson in two weeks
from now?"
プロデューサー、ちょっとお願いがあるんだけど……\r\n二週間後に友達と予定を入れたいんだ,"Producer, I want to ask something...
I'm having a meeting with a friend in two weeks
from now."
うち、もっともっと歌が上手になりたか！,I wanna get even better at singin'!
今週にみっちりボーカルレッスンしたいけん\r\nプロデューサー、場所とってくれんね？,"I'd like sum' vocal lessons for this week.
Producer, can ya do that for me?"
さすがプロデューサー！\r\nありがとーね！,"Awesome, Producer! Thank ya so much!"
そっか……いや、気にせんとって！,"That sucks... Well, no need to worry!"
うち、また歌が上手くなったような気がするたい！,I feel I'm gonna keep improvin' my singing more!
みっちりレッスンした甲斐があったわー\r\nまたよろしゅうね、プロデューサー！,"That lesson was totally worth it!
Please help me out again, Producer!"
うち、自分でもレッスンせんとと思って\r\nカラオケいってきたばい,"I thought I'd make my own lesson, so I went ta
karaoke!"
けど、レッスン場とはやっぱり勝手が違うけん……\r\n次はちゃんと練習したかー,"But the lesson room sure is different than going by
myself... I wanna practice hard next time──"
うちのわがままで調整してくれたんに……,Can ya try to adjust the schedule just for me next time...
申し訳なか～……\r\nうち、上手くできんかった……,"Sorry for that～...
I feel like I can't improve further..."
うち、踊りは得意なんやけど\r\n練習してて必ず上手くできんところがあるんよー,"Dancin's my specialty but ya can never have enough
practice, yeah!"
プロデューサー、今週にダンスレッスンしたいばい！\r\nうち、もっと上手に踊りたかー,"Producer, I wanna have dance lessons this week!
I wanna get better with my dancing～"
ん～！ 調子が出すぎて踊り過ぎたばい！,"Mhm～! I'm feelin' so energetic I could dance
the night away!"
今日はばり良かダンスレッスンができたとよ～\r\n次も頑張るけんね！ プロデューサー！,"I'm glad I could have an awesome dance lesson today～
I'll keep workin' hard! Producer!"
あー、ダンスレッスン場とれんかったんかー,"Awh, we couldn't get the dance lesson room──?"
ならしょうがないばい！\r\nまた別ん日にすればよかよー,"Well then it couldn't be helped!
Guess we'll try again another day!"
うちの魅力をもっと磨くばい！\r\nそんためには、お化粧のレッスンが必要なんよー,"I gotta refine my charm!
If I want to do that, I'll need ta have a makeup lesson!"
今週、ビジュアルレッスンしたいばってん\r\nプロデューサー、付きおうてくれんね？,"I wanna have some visual lessons this week!
Producer, can ya help me with that?"
んふふー、うち、ますます綺麗になった気がするたい,Teeheehee～ I can feel myself gettin' even prettier!
プロデューサーがきてくれて気合が入ったけん、\r\nありがとーね！,"I got fired up when ya showed up Producer, so
thanks, yeah!"
そっか……\r\nまあ、お化粧の練習はどこでもできるけんね,"Gotcha... well, guess I can practice makeup anywhere."
また、今度、よろしゅう頼むばい！,"Next time then, please consider my request!"
ふぅー、なんかいつもの調子がでんばい……,"Huuuuー, I'm not feeling like my usual self..."
プロデューサー、少しだけ休みたいんやけど……\r\n今週って空けられんと……？,"Producer, I really wanna have some rest...
Could ya please place it in my schedule for this week?"
ん～！　スッキリしたばいー\r\nこれでまたアイドル活動に集中できるとよ！,"Hm～! It's gonna be nice──
Then I can really focus on my idol activities!"
ばっちり元気になったし\r\n休んだ分、もっと頑張るけんね！,"I'm feelin' right as rain!
I'll do my best to make up fer more than I took off!"
いやー、気にしてなかよ。うちもアイドルやけん\r\n忙しいのは良かことばいー,"Naw, don't worry 'bout it. I'm an idol too, so I'm okay
if it's too busy."
ばってん、たまにはゆっくりできる時間も欲しいけん\r\n次はよろしゅうねー,"However, I do want sum time to relax!
Maybe next time──"
一週間後にみっちりボーカルレッスンしたいけん\r\nプロデューサー、場所とってくれんね？,"I'd like sum' vocal lessons next week!
Producer, can ya do that for me?"
プロデューサー、一週間後にダンスレッスンしたいばい！\r\nうち、もっと上手に踊りたかー,"Producer, I wanna have dance lessons next week!
I wanna get better with my dancin'～"
一週間後、ビジュアルレッスンしたいばってん\r\nプロデューサー、付きおうてくれんね？,"I wanna have some visual lessons next week!
Producer, can ya help me with that?"
プロデューサー、少しだけ休みたいんやけど……\r\n一週間後って空けられんと……？,"Producer, I really wanna have some rest...
Could ya please place it in my schedule for next
week?"
二週間後にみっちりボーカルレッスンしたいけん\r\nプロデューサー、場所とってくれんね？,"I'd like sum' vocal lessons two weeks from now!
Producer, can ya do that for me?"
プロデューサー、二週間後にダンスレッスンしたいばい！\r\nうち、もっと上手に踊りたかー,"Producer, I wanna have dance lessons two weeks
from now! I wanna get better with my dancin'～"
二週間後、ビジュアルレッスンしたいばってん\r\nプロデューサー、付きおうてくれんね？,"I wanna have some visual lessons in two weeks!
Producer, can ya help me with that?"
プロデューサー、少しだけ休みたいんやけど……\r\n二週間後って空けられんと……？,"Producer, I really wanna have some rest...
Could ya please place it in my schedule two weeks
from now?"
プロデューサー、私ー珍しくやる気が出てるかもー\r\nたまには大声を出してもいいかなぁってー,"Producer, I'm unusually motivated today.
I'm thinking that shouting out loud could be
nice sometimes～"
今週ボーカルレッスンとか、どうですかぁ？,So how about some vocal lessons this week?
ふふー、プロデューサーは優しいですねー,Fufu～ Producer sure is gracious.
えー、プロデューサーはまみみのお願い、\r\n聞いてくれないんだー……,"Ehhh, Producer, you won't listen to Mamimi's request...?"
いい感じに声が出せましたぁ,"Yup yup, my voice came out nicely～"
プロデューサー、今度聞かせてあげてもいいですよー,"Producer, next time I'll even let you listen to it."
ボーカルレッスン、すっごくやる気だったのになぁ,"Man, and I was really motivated for vocal lessons too..."
次こそはぁ、お願いしますねー,"Next time, for sure, riiight?"
うーん……調子が悪かったですかねー,Mmnnn... Looks like I wasn't in good shape...
このままは、なんか嫌なのでー、次もお願いしますー,"That left a bad taste, so next time, please let me
try it again."
私ー、なんだか踊りたい気分なんですケド\r\nスケジュール入れられますかぁ？,"I kind of got into a dancing mood.
Can you do something about my schedule?"
今週、ダンスレッスンしたいですー,"This week, I wanna have dance lessons～"
たくさん踊ったら疲れましたけどー、\r\nでも、すこーしだけ、楽しかったかもですねー,"I danced a lot and got really tired, but it was also
a little bit fun."
気が向いたらまたお願いしようかなー,"If I feel like doing it again, I may ask you for it."
……レッスン、サボろうと思ってたんで―\r\n丁度よかったんですケド,"...Even though I thought about skipping the lesson,
I ended up coming just in time."
……でも、プロデューサーに約束守ってもらえなくて、\r\nちょっとショックですー……,"...But, Producer didn't keep his promise.
What a shocker..."
お化粧はぁ、女子にとってなによりも大事なんですよー,"Makeup is like, the most important thing for girls～"
なのでー、今週ビジュアルレッスンしたいですー,"With that in mind, I wanna have a visual lesson this
week."
ふふー、どうですかぁ、プロデューサー,"Fufu～ How was that, Producer?"
私、可愛くなりましたかぁ？,Did I become cuter?
約束を破るなんて―、プロデューサーも悪い人ですねー\r\n私の心、傷ついちゃったかもしれませんよー？,"Breaking promises like that, Producer is also a bad
person. My heart may have been hurt, you know?"
まぁ、次は約束守ってくださいねー\r\nプロデューサー,"Well, next time try to keep your promise, Producer."
プロデューサー\r\nなんだか調子が乗らないのでー,"Producer, I'm kind of feeling not too well."
今週は休みにしませんかぁ？,Can I take a break this week?
今日はちゃんと休んだのでー,I rested well today～
今度はぁ、真面目にレッスンしてもいいかもですねー,"Right now, I might be able to do my lessons seriously."
私、お風呂に入って休む気でいましたけどー,I was just going to take a bath and rest early...
はぁ……もう帰りますねー,Hahh... I'll just go back home.
一週間後ボーカルレッスンとか、どうですかぁ？,So how about some vocal lessons a week from now?
一週間後、ダンスレッスンしたいですー,"A week from now, I wanna have dance lessons～"
なのでー、一週間後ビジュアルレッスンしたいですー,"With that in mind, I wanna have a visual lesson a week
from now."
一週間後は休みにしませんかぁ？,Can I take a break a week from now?
二週間後ボーカルレッスンとか、どうですかぁ？,So how about some vocal lessons two weeks from now?
二週間後、ダンスレッスンしたいですー,"Two weeks from now, I wanna have dance lessons～"
なのでー、二週間後ビジュアルレッスンしたいですー,"With that in mind, I wanna have a visual lesson two
weeks from now."
二週間後は休みにしませんかぁ？,Can I take a break two weeks from now?
歌のパフォーマンスについて\r\nより良く見せる方法を勉強したいんだ,"Regarding my song performance, I'd like to learn how
to present it better."
ボーカルレッスンの時間を\r\n今週で調整をしてもらっていいかな？,Could you adjust my time to fit in a vocal lesson this week?
フフ、ありがとう\r\nプロデューサーならそう言ってくれると思ったよ,"Fufu, thank you. I figured you'd say that since it's you."
そうか……仕方ないね,I see... well it can't be helped.
今日のレッスンで苦手な音域があることが\r\n理解できたんだ,During today's lesson I discovered a vocal range I'm poor at.
大きな収穫になったよ\r\nありがとう、プロデューサー,"I made great gains. Thanks, Producer."
もうちょっと歌の完成度を高めたかったのだけど……,"I wanted to perfect my performance a little more
though..."
いや、忘れていたのなら仕方ないね……\r\n次は頼むよ,"Well, it can't be helped if you forgot...
I'll ask you next time."
プロデューサーが約束を守ってくれたというのに\r\nこの結果なんて、我ながら情けないな……,"Even though you kept your promise, my results were
deplorable..."
次こそは期待に応えられるようにしてみせるよ,Next time I'll try to live up to your expectations.
この振り付けなんだけど、\r\nどうしても自分で納得できないんだ,"This choreography, I just can't manage to nail it."
今週にダンスレッスンをしたいんだが……\r\n頼めるかな？,Could I request... to have a dance lesson this week?
うん、やっと動きをモノにできた気がするね,"Yeah, it feels like I'm finally able to do that move."
約束を守ってくれたアナタのおかげだよ\r\nありがとう,It's because you kept your promise. Thank you.
次のオーディションまでに振付を\r\n完璧にしておきたかったんだけどな……,"I wanted to make the choreography flawless by
the next audition but..."
いや、気にしていないよ\r\nまた予定を合わせればいいさ,"No, I don't mind. It's fine to reschedule."
モデルではなく、アイドルとして\r\n自分を魅力的に演出する方法を研究したいんだ,"I'd like to do some research into expressing my
charms as an idol rather than as a model."
今週にビジュアルレッスンを頼んでもいいかい？,"Would it be okay to request a visual lesson this
week?"
アイドルとして自分を魅せるには\r\n着実な努力が必要なんだね,"It takes constant effort to show your charm as
an idol, doesn't it."
今回は気付きの多いレッスンだったよ\r\nこのお礼はいつかしないとね,"I noticed quite a bit at that lesson.
I'll have to show you my appreciation."
アイドルとしての魅せ方は分からないままか……\r\n残念だな……,"I'm still not sure how to charm as an idol... it's quite
regrettable..."
今度はきっちり\r\n約束を守ってほしいな,Next time I'd like you to be punctual with your promise.
ファンのみんなに喜んでもらうにはどうしたらいいか\r\nじっくりと考える時間が欲しいんだ,"How can I best make all of my fans happy?
I'd like some time to consider that."
今週に休みをもらってもいいかな？,Would I be able to take this week off?
じっくりと考える時間をもらえたお陰で\r\nいいアイディアを思いついたよ,"Since I deliberately took some time to think about it,
I came up with a good idea."
これから楽しくなりそうだ\r\nありがとう、プロデューサー,"It's going to be fun from now on.
Thanks, Producer."
日々仕事をこなしながら\r\n新しい自分を模索することは難しいね……,"It's difficult to soul search for my new self if I'm
busy working every day..."
すまないが、次は時間を作ってほしいな,"I'm sorry, but I'd like you to make the time for it
next time."
ボーカルレッスンの時間を\r\n一週間後で調整をしてもらっていいかな？,"Could you adjust my time to fit in a vocal lesson next
week?"
一週間後にダンスレッスンをしたいんだが……\r\n頼めるかな？,Could I request... to have a dance lesson next week?
一週間後にビジュアルレッスンを頼んでもいいかい？,"Would it be okay to request a visual lesson next
week?"
一週間後に休みをもらってもいいかな？,Would I be able to take time off next week?
ボーカルレッスンの時間を\r\n二週間後で調整をしてもらっていいかな？,"Could you adjust my time to fit in a vocal lesson
in two weeks?"
二週間後にダンスレッスンをしたいんだが……\r\n頼めるかな？,Could I request... to have a dance lesson in two weeks?
二週間後にビジュアルレッスンを頼んでもいいかい？,"Would it be okay to request a visual lesson in
two weeks?"
二週間後に休みをもらってもいいかな？,Would I be able to take time off in two weeks?
アイドル三峰結華に今、足りないもの……\r\nそれはズバリ！　誰もが聞き惚れるような歌声かと！,"Something the idol Yuika Mitsumine is currently
lacking... Answer: A heavenly singing voice that will
charm anyone!"
ということで、プロデューサー？\r\n今週にボーカルレッスンを入れて欲しいなー？,"So anyway, Producer!
Will you let me do a vocal lesson this week?"
さっすが！　プロデューサーは話が分かる男だなぁ\r\nそんじゃよろしくね！　頼みましたよっ,"Just as I hoped! You're the type who gets it,
Producer. Thanks! I'm counting on you."
おっと、ダメか。……ざーんねん\r\n三峰了解いたしましたー,"Uh-oh, I guess not... Oh well.
Mitsumine hears you loud and clear."
ふっふー、これからの三峰は一味違うんだぜＰたん\r\n練習の成果、今から聴かせてあげちゃおっか？,"Hm-Hm. Mitsumine has changed quite a bit, P-tan.
Would like to hear the fruits of my vocal training?"
……あ、大丈夫？　それはまたお仕事とかで？\r\nまぁいいけど、お礼だけは言わせてほしいな。ありがとね,"Oh, you don't? You want me to save it for the job?
Well, that's cool. Really I just wanted to say thanks.
So, thank you!"
さぁてここでプロデューサーに問題です！\r\n今日はなんの日だったでしょーおかっ？,"Alright Producer, here's a question for you!
Do you know what day today is?"
正解は……？　ボーカルレッスンの約束の日でした～！\r\n……プロデューサー？　次はちゃんと守ってよね,"The answer is: ...The day you were supposed to let me
do a vocal lesson～!
...Producer? You better keep your promise next time."
やっちゃったなぁ……。ごめんねプロデューサー、\r\nせっかくレッスン入れてもらったのに……,"I done goofed... I'm sorry, Producer.
After you went out of your way to let me do those
lessons, too..."
三峰、上手くできなかったよ\r\n……次までにはなんとかするから待ってて！,"Mitsumine didn't do so well this time, huh.
...I'll do whatever I can to make sure it doesn't
happen again, just you wait!"
プロデューサープロデューサー、ちょっと相談なんだけど\r\n……この前習った振り付けがね？　あんま上手くいかなくて,"Producer, Producer! I wanted to talk to you about
something... That new choreography we got? It's
giving me some trouble..."
今週にダンスレッスン入れてもらえたらなーなんて……\r\n……どうかな？,"Sooo, maybe you could schedule a dance lesson
this week? ...How about it?"
プロデューサープロデューサー\r\nちょっとだけこっち！　耳貸して？,"Producer, Producer! C'mere a sec!
I wanna tell you something!"
特訓のおかげで、苦手は克服できました！\r\nありがとう。プロデューサーが約束守ってくれたおかげだよ,"Thanks to my special training, I was able to master
the steps that were giving me trouble. All because
you kept your promise. Thank you!"
えーっと、プロデューサー……？\r\nダンスレッスン、約束してたと思うんだけど……,"Ummm, Producer...? I'm pretty sure you promised me
I'd have a dance lesson this week..."
……忘れちゃってたならしょうがない！\r\n今回は水に流しましょう！,"...Well, if you just forgot it's all good! I'll let this one slide."
メイクって言っても一筋縄じゃいかないんだなぁこれが\r\n奥深くって困っちゃうよ,"Understanding makeup is no simple task, you see.
There's a lot that goes into it──it's kinda tough!"
そんなわけなので、プロデューサーにお願いです！\r\n……今週にビジュアルレッスンを入れてほしいなっ,"So I have a request for you, Producer!
...I'd like it if you could schedule a visual lesson for
me this week."
不肖三峰……メイクの極意をバッチリ学んできましたよー\r\nこれもＰたんのおかげです。本っ当に感謝してます,"The humble Mitsumine... Has learned the secret to
the mystical art of makeup! It's all thanks to you,
P-tan. I'm suuuper grateful."
……約束、守ってくれてありがとね\r\nまた次もよろしくですよー,"...Thanks for keeping your promise.
I'll be counting on you next time."
ひどいよプロデューサーっ……！\r\n私との約束、忘れちゃうなんてっ……！,"You're such a jerk, Producer...!
I can't believe you'd break your promise...!"
……なーんちゃってぇ、ビックリした？\r\nＰ氏も人間だもんね、またスケジュール調整お願いします！,"...Juuust kidding, did I scare you? You're only human,
I get it. Just, please remember to adjust my
schedule next time!"
いやー、最近の三峰、すごい頑張ってるなー\r\nそんなことをみんなが言ってくれてる気がするなー,"Oh maaan～ That Mitsumine's really been giving it her
all recently! Everyone's been saying as much, I'm
pretty sure."
働き者な三峰にお休みをください……\r\nできたら今週がいいなぁ、なーんて……,"Please let poor hard-working Mitsumine have some
time off... If it works for you, this week would
be great..."
いやー、いいお休みだったよー！\r\nゆっくりしっかり堪能させていただきましたっ,"Whew, what a relaxing break!
I had my fill of lazing around for a while."
こっからは、心機一転リフレッシュした三峰で頑張るね\r\n改めてよろしくー！,"Now that she's good and refreshed, Mitsumine's
gonna keep giving her all. I hope you're ready!"
三峰をこんなに働かせるなんて\r\nプロデューサーも悪いお人だなぁ……,"Making Mitsumine work so long without a break
reflects very poorly on your character, Producer."
……あんまり約束スルーされちゃうと、\r\nさすがの三峰もご機嫌ナナメにはなりますからね,"...If you keep ignoring Mitsumine's promises like this,
she's going to be extremely grouchy."
ということで、プロデューサー？\r\n一週間後にボーカルレッスンを入れて欲しいなー？,"So anyway, Producer!
Will you let me do a vocal lesson one week from now?"
一週間後にダンスレッスン入れてもらえたらなーなんて……\r\n……どうかな？,"Sooo, maybe you could schedule a dance lesson
one week from now? ...How about it?"
そんなわけなので、プロデューサーにお願いです！\r\n……一週間後にビジュアルレッスンを入れてほしいなっ,"So I have a request for you, Producer!
...I'd like it if you could schedule a visual lesson for
me a week from now."
働き者な三峰にお休みをください……\r\nできたら一週間後がいいなぁ、なーんて……,"Please let poor hard-working Mitsumine have some
time off... If it works for you, a week from now would
be great..."
ということで、プロデューサー？\r\n二週間後にボーカルレッスンを入れて欲しいなー？,"So anyway, Producer!
Will you let me do a vocal lesson two weeks from now?"
二週間後にダンスレッスン入れてもらえたらなーなんて……\r\n……どうかな？,"Sooo, maybe you could schedule a dance lesson two
weeks from now? ...How about it?"
そんなわけなので、プロデューサーにお願いです！\r\n……二週間後にビジュアルレッスンを入れてほしいなっ,"So I have a request for you, Producer!
...I'd like it if you could schedule a visual lesson for
me two weeks from now."
働き者な三峰にお休みをください……\r\nできたら二週間後がいいなぁ、なーんて……,"Please let poor hard-working Mitsumine have some
time off... If it works for you, two weeks from now
would be great..."
え、と……わたし、もっと大きな声を出さないと\r\nいけないですよね……,"U-Uhm... I want to have a louder voice, but I can't..."
ボ、ボーカルレッスンを……\r\n今週……希望……したいです……！,M-My wish... is for a vocal lesson... this week...!
プロデューサーさん……\r\nお、お手数をおかけします……！,Producer-san... S-Sorry for the trouble...!
