text,trans,type
[条件:メランコリーが付与されている場合],[Condition:멜랑꼴리가 부여되고 있는 경우],
[条件:リザレクション効果が付与されている場合],[Condition:레저렉션(부활) 효과가 부여된 경우],
[条件:観客$num],[Condition: 관객$1],
[消去:$nounUP],[소거: $1 UP],
[消去:$nounDOWN],[소거: $1 DOWN],
[確率:$percent],[확률: $1],
[確率:$other],[확률: $1],
[最大:$num回],[최대: $1x],
[$nounが高いほど効果UP],[$1이(가) 높을수록 효과UP],
[$nounが多いほど効果UP],[$1이(가) 많을수록 효과UP],
[$nounが低いほど効果UP],[$1이(가) 낮을수록 효과UP],
[$nounが低い程効果UP],[$1이(가) 낮을수록 효과UP],
[$nounが少ない程効果UP],[$1이(가) 적을수록 효과UP],
[$nounが少ないほど効果UP],[$1이(가) 적을수록 효과UP],
[超過分は思い出ゲージに変換],[초과분은 추억 게이지에 변환],
トラブル発生率,트러블 발생률,
必ず最後にアピールを行い,"반드시 마지막에 Appeal을 실시해_",
必ず最初にアピールを行い,"반드시 최초로 Appeal을 실시해_",
$noun滞在率,$1 체재율,
興味$percentUP,흥미 $1UP,
興味$percentDOWN,흥미 $1DOWN,
興味DOWN$percent,흥미 DOWN $1,
影響力$percentUP,영향력 $1UP,
影響力$percentDOWN,영향력 $1DOWN,
自身の$nounを$percent減らす,자신의 $1을 $2 줄인다,
メンタルダメージ$percentCUT,멘탈 데미지 $1 CUT,
特訓$num回目で解放,특훈 $1번째로 해방,
$noun初期値,$1 초기치,
$noun上限,$1 상한,
サポートイベント発生率UP,서포트 이벤트 발생률 UP,
初期テンションUP,초기 텐션 UP,
初期親愛度,초기 친애도,
初期친애도,초기 친애도,
初期絆UP,초기 인연 UP,
初期인연 UP,초기 인연 UP,
プロデュース開始時に絆,프로듀스 시작시 인연,
（極小）,（극소）,
朝コミュ発生率,아침 커뮤 발생률,
約束発生率,약속 발생률,
$nounが$percentUPする効果,$1이(가) $2UP하는 효과,
受けるメンタルダメージが$percentUPする効果,받는 멘탈 데미지가 $1UP하는 효과,
$nounが$percentDOWNする効果,$1이(가) $2DOWN하는 효과,
受ける$nounを$percentCUTする効果,받는 $1를 $2 CUT하는 효과,
思い出アピール,추억 Appeal,
消費体力$num,소비체력 $1,
$nounのレベルを$num上昇,$1의 레벨을 $2 상승,
リハーサルの流行1位を$nounに変更,리허설의 유행 1위를 $1로 변경,
本番の流行1位を$nounに変更,실전의 유행 1위를 $1로 변경,
トラブル率$percent,트러블율 $1,
パーフェクト発生率増加,퍼펙트 발생률 증가,
サポートスキルの発動率が中UP,서포트 스킬의 발동율이 중 UP,
限定スキルを解放,한정 스킬을 해방,
全アイドルと七草はづきの絆を中UP,전아이돌과 나나쿠사 하즈키의 인연을 중 UP,
"ごく매우 드물게 현재의 흥미치에 관련되지 않고 단번에 만족시킨다","﻿극히 드물게 현재의 흥미치에 관련되지 않고 단번에 만족시킨다"
"ごくごく稀に現在の興味値に関わらず一気に満足させる","﻿극히 드물게 현재의 흥미치에 관련되지 않고 단번에 만족시킨다"
"ごく稀に現在の興味値に関わらず一気に満足させる","﻿매우 드물게 현재의 흥미치에 관련되지 않고 단번에 만족시킨다"
$noun･$noun･$nounUP,$1･$2･$3 UP,
$noun･$nounUP,$1･$2 UP,
限定スキル[$noun上限$num]を解放,한정 스킬[$1 상한 $2]을 해방,
Dance,Dance,noun
Vocal,Vocal,noun
Visual,Visual,noun
Da,Da,noun
Vo,Vo,noun
Vi,Vi,noun
Me,Me,noun
メンタル,멘탈,noun
メンタルダメージ,멘탈 데미지,noun
SP,SP,noun
スター,스타,noun
観客,관객,noun
注目度,주목도,noun
思い出ゲージ,추억게이지,noun
ボーカルレッスン,보컬 레슨,noun
ラジオ収録,라디오 수록,noun
ラジオの収録,라디오 수록,noun
ビジュアルレッスン,비주얼 레슨,noun
トークイベント,토크 이벤트,noun
トークイベントに出演,토크 이벤트에 출연,noun
トーク,토크,noun
ラジオ,라디오,noun
雑誌,잡지,noun
雑誌撮影,잡지 촬영,noun
雑誌の撮影,잡지 촬영,noun
ダンスレッスン,댄스 레슨,noun
Voレッスン,Vo레슨,noun
Daレッスン,Da레슨,noun
Viレッスン,Vi레슨,noun
親愛度,친애도,noun
絆,인연,noun
テンション,텐션,noun
ラジオ,라디오,noun
ごくごく稀,극히 희소,other
ごく稀,매우 희소,other
リンクアピール,링크 Appeal,text
メンタルダメージCUT,멘탈 데미지 CUT,text
特定のアイドルイベントで解放,특정 아이돌 이벤트로 해방,text
特定のサポートイベントで解放,특정 서포트 이벤트로 해방,text
体力回復,체력 Recovery,text
体力が中回復,체력이 중 Recovery,text
テンションが中UP,텐션이 중 UP,text
親愛度が中UP,친애도가 중 UP,text
体力が大回復,체력이 대 Recovery,text
テンションが大UP,텐션이 대 UP,text
親愛度が大UP,친애도가 대 UP,text
体力が特大回復,체력이 특대 Recovery,text
テンションが特大UP,텐션이 특대 UP,text
親愛度が特大UP,친애도가 특대 UP,text
体力が小回復,체력이 소 Recovery,text
テンションが小UP,텐션이 소 UP,text
親愛度が小UP,친애도가 소 UP,text
リハ流行Vo,리허설 유행 Vo,text
リハ流行Da,리허설 유행 Da,text
リハ流行Vi,리허설 유행 Vi,text
本番流行Vo,실전 유행 Vo,text
本番流行Da,실전 유행 Da,text
本番流行Vi,실전 유행 Vi,text
全アイドルと七草はづきの絆UP,전아이돌과 나나쿠사 하즈키의 인연을 UP,text
限定スキル解放,한정 스킬 해방,text
審査員スキル,심사원 스킬,text
思い出アピール未修得の状態です,추억 Appeal 미습득 상태입니다,text
真乃,마노,name
灯織,히오리,name
めぐる,메구루,name
恋鐘,코가네,name
摩美々,마미미,name
咲耶,사쿠야,name
結華,유이카,name
霧子,키리코,name
果穂,카호,name
智代子,치요코,name
樹里,쥬리,name
凛世,린제,name
夏葉,나츠하,name
甘奈,아마나,name
甜花,텐카,name
千雪,치유키,name
あさひ,아사히,name
冬優子,후유코,name
愛依,메이,name
